"page number","rank","domain","url","title"
"1","1","www.linux.com","https://www.linux.com/what-is-linux/","What is Linux? - Linux.com"
"1","2","en.wikipedia.org","https://en.wikipedia.org/wiki/Linux","Linux - Wikipedia"
"1","3","www.techtarget.com","https://www.techtarget.com/searchdatacenter/definition/Linux-operating-system","What is the Linux operating system? - TechTarget"
"1","4","www.linux.org","https://www.linux.org/","Linux.org"
"1","5","www.guru99.com","https://www.guru99.com/introduction-linux.html","What is Linux Operating System? Introduction to Linux OS - Guru99"
"1","6","www.tutorialspoint.com","https://www.tutorialspoint.com/operating_system/os_linux.htm","Operating System - Linux - Tutorialspoint"
"1","7","www.youtube.com","https://www.youtube.com/watch%3Fv%3DROjZy1WbCIA","Linux Operating System - Crash Course for Beginners - YouTube"
"1","8","www.javatpoint.com","https://www.javatpoint.com/what-is-linux","What is Linux - Javatpoint"
"1","9","www.redhat.com","https://www.redhat.com/en/topics/linux/what-is-linux","What is Linux? - Red Hat"
"1","10","sistem-komputer-s1.stekom.ac.id","http://sistem-komputer-s1.stekom.ac.id/informasi/baca/Linux-adalah-Sistem-Operasi-Komputer-Kenali-Macamnya/c5f52cf080e5f04f7824fcf100b38e95a6cb77cf","Linux adalah Sistem Operasi Komputer, Kenali Macamnya"
"2","11","opensource.com","https://opensource.com/resources/linux","What is Linux? - Opensource.com"
"2","12","ubuntu.com","https://ubuntu.com/desktop","Ubuntu PC operating system"
"2","13","binus.ac.id","https://binus.ac.id/bandung/2022/10/linux-operating-system/","Linux Operating System | BINUS UNIVERSITY BANDUNG"
"2","14","www.britannica.com","https://www.britannica.com/technology/Linux","Linux | Definition & Facts - Britannica"
"2","15","www.tecmint.com","https://www.tecmint.com/linux-distro-for-power-users/","10 Linux Distributions and Their Targeted Users - Tecmint"
"2","16","www.suse.com","https://www.suse.com/suse-defines/definition/linux-operating-system/","Linux Operating System | SUSE Defines"
"2","17","www.debian.org","https://www.debian.org/","Debian -- The Universal Operating System"
"2","18","www.linuxliteos.com","https://www.linuxliteos.com/","Linux Lite Easy to Use Free Linux Operating System"
"2","19","hostry.com","https://hostry.com/blog/linux-operating-systems/","Most Popular Version of Linux Operating System - HOSTRY"
"3","20","mxlinux.org","https://mxlinux.org/","MX Linux – Midweight Simple Stable Desktop OS"
"3","21","distrowatch.com","https://distrowatch.com/","DistroWatch.com: Put the fun back into computing. Use Linux, BSD."
"3","22","www.geeksforgeeks.org","https://www.geeksforgeeks.org/introduction-to-linux-operating-system/","Introduction to Linux Operating System - GeeksforGeeks"
"3","23","www.kernel.org","https://www.kernel.org/","The Linux Kernel Archives"
"3","24","monovm.com","https://monovm.com/blog/Linux-Features/","10 Best Features of linux Operating System [Linux Features] - MonoVM"
"3","25","www.ekrut.com","https://www.ekrut.com/media/linux-adalah","Operating System Linux: Pengertian, Kelebihan, Kekurangan, 3 ..."
"3","26","www.alibabacloud.com","https://www.alibabacloud.com/knowledge/developer/learning-operating-system-practice-linux-operating-system-from-entry-to-improvement","Linux operating system from entry to improvement - Alibaba Cloud"
"3","27","www.gnu.org","https://www.gnu.org/","The GNU Operating System and the Free Software Movement"
"3","28","www.softwaretestinghelp.com","https://www.softwaretestinghelp.com/linux-vs-windows/","Linux vs Windows Difference: Which Is The Best Operating System?"
"3","29","www.oracle.com","https://www.oracle.com/linux/what-is-linux/","What is Linux - Oracle"
"4","30","www.gnu.org","https://www.gnu.org/","The GNU Operating System and the Free Software Movement"
